 1.70000000e+00  1.70000000e+00  1.70000000e+00 -9.50774829e-03  1.70000000e+00  2.00000000e+00 
 1.75000000e+00  1.75000000e+00  1.75000000e+00 -9.80666414e-03  1.75000000e+00  2.00000000e+00 
 1.80000000e+00  1.80000000e+00  1.80000000e+00 -1.01248453e-02  1.80000000e+00  2.00000000e+00 
 1.85000000e+00  1.85000000e+00  1.85000000e+00 -1.04662814e-02  1.85000000e+00  2.00000000e+00 
 1.90000000e+00  1.90000000e+00  1.90000000e+00 -1.08357665e-02  1.90000000e+00  2.00000000e+00 
 1.95000000e+00  1.95000000e+00  1.95000000e+00 -1.12391290e-02  1.95000000e+00  2.00000000e+00 
 2.00000000e+00  2.00000000e+00  2.00000000e+00 -1.16835452e-02  2.00000000e+00  2.00000000e+00 
 2.05000000e+00  2.05000000e+00  2.05000000e+00 -1.21779751e-02  2.05000000e+00  2.00000000e+00 
 2.10000000e+00  2.10000000e+00  2.10000000e+00 -1.27337767e-02  2.10000000e+00  2.00000000e+00 
 2.15000000e+00  2.15000000e+00  2.15000000e+00 -1.33655946e-02  2.15000000e+00  2.00000000e+00 
 2.20000000e+00  2.20000000e+00  2.20000000e+00 -1.40926718e-02  2.20000000e+00  2.00000000e+00 
 2.25000000e+00  2.25000000e+00  2.25000000e+00 -1.49408460e-02  2.25000000e+00  2.00000000e+00 
 2.30000000e+00  2.30000000e+00  2.30000000e+00 -1.59456811e-02  2.30000000e+00  2.00000000e+00 
 2.35000000e+00  2.35000000e+00  2.35000000e+00 -1.71575684e-02  2.35000000e+00  2.00000000e+00 
 2.40000000e+00  2.40000000e+00  2.40000000e+00 -1.85577467e-02  2.40000000e+00  2.00000000e+00 
 2.45000000e+00  2.45000000e+00  2.45000000e+00 -1.98924746e-02  2.45000000e+00  2.00000000e+00 
 2.50000000e+00  2.50000000e+00  2.50000000e+00 -2.11431106e-02  2.50000000e+00  2.00000000e+00 
 2.55000000e+00  2.55000000e+00  2.55000000e+00 -2.23237924e-02  2.55000000e+00  2.00000000e+00 
 2.60000000e+00  2.60000000e+00  2.60000000e+00 -2.34450910e-02  2.60000000e+00  2.00000000e+00 
 2.65000000e+00  2.65000000e+00  2.65000000e+00 -2.45151560e-02  2.65000000e+00  2.00000000e+00 
 2.70000000e+00  2.70000000e+00  2.70000000e+00 -2.55404279e-02  2.70000000e+00  2.00000000e+00 
 2.75000000e+00  2.75000000e+00  2.75000000e+00 -2.65261011e-02  2.75000000e+00  2.00000000e+00 
 2.80000000e+00  2.80000000e+00  2.80000000e+00 -2.74764375e-02  2.80000000e+00  2.00000000e+00 
 2.85000000e+00  2.85000000e+00  2.85000000e+00 -2.83949855e-02  2.85000000e+00  2.00000000e+00 
 2.90000000e+00  2.90000000e+00  2.90000000e+00 -2.92847364e-02  2.90000000e+00  2.00000000e+00 
 2.95000000e+00  2.95000000e+00  2.95000000e+00 -3.01482399e-02  2.95000000e+00  2.00000000e+00 
 3.00000000e+00  3.00000000e+00  3.00000000e+00 -3.09876903e-02  3.00000000e+00  2.00000000e+00 
 3.05000000e+00  3.05000000e+00  3.05000000e+00 -3.18049922e-02  3.05000000e+00  2.00000000e+00 
 3.10000000e+00  3.10000000e+00  3.10000000e+00 -3.26018115e-02  3.10000000e+00  2.00000000e+00 
 3.15000000e+00  3.15000000e+00  3.15000000e+00 -3.33796150e-02  3.15000000e+00  2.00000000e+00 
 3.20000000e+00  3.20000000e+00  3.20000000e+00 -3.41397024e-02  3.20000000e+00  2.00000000e+00 
 3.25000000e+00  3.25000000e+00  3.25000000e+00 -3.48832318e-02  3.25000000e+00  2.00000000e+00 
 3.30000000e+00  3.30000000e+00  3.30000000e+00 -3.56112404e-02  3.30000000e+00  2.00000000e+00 
 3.35000000e+00  3.35000000e+00  3.35000000e+00 -3.63246614e-02  3.35000000e+00  2.00000000e+00 
 3.40000000e+00  3.40000000e+00  3.40000000e+00 -3.70243380e-02  3.40000000e+00  2.00000000e+00 
 3.45000000e+00  3.45000000e+00  3.45000000e+00 -3.77110354e-02  3.45000000e+00  2.00000000e+00 
 3.50000000e+00  3.50000000e+00  3.50000000e+00 -3.83854500e-02  3.50000000e+00  2.00000000e+00 
 3.55000000e+00  3.55000000e+00  3.55000000e+00 -3.90482183e-02  3.55000000e+00  2.00000000e+00 
 3.60000000e+00  3.60000000e+00  3.60000000e+00 -3.96999236e-02  3.60000000e+00  2.00000000e+00 
 3.65000000e+00  3.65000000e+00  3.65000000e+00 -4.03411021e-02  3.65000000e+00  2.00000000e+00 
 3.70000000e+00  3.70000000e+00  3.70000000e+00 -4.09722479e-02  3.70000000e+00  2.00000000e+00 
 3.75000000e+00  3.75000000e+00  3.75000000e+00 -4.15938179e-02  3.75000000e+00  2.00000000e+00 
 3.80000000e+00  3.80000000e+00  3.80000000e+00 -4.22062349e-02  3.80000000e+00  2.00000000e+00 
